('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         893987 function calls (872670 primitive calls) in 3.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      162    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      203    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    3.655    3.655 financial.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  224/189    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      573    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1589    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1020    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      312    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      750    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      260    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
       24    0.000    0.000    0.002    0.000 enum.py:528(__new__)
     1020    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      820    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        7    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  578/521    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      520    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1237    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
       53    0.000    0.000    1.382    0.026 {method 'readline' of '_io.BufferedReader' objects}
     1589    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       36    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      162    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      319    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      258    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       43    0.000    0.000    0.184    0.004 response.py:1032(read_chunked)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      339    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       96    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       49    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
    62/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      239    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      779    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      294    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      418    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       97    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      183    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      533    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      637    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       84    0.000    0.000    0.000    0.000 css_parser.py:792(parse_combinator)
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
  114/111    0.000    0.000    0.002    0.000 typing.py:392(inner)
