('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         854145 function calls (833851 primitive calls) in 1.894 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      195    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      186    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      181    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      178    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      177    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      177    0.000    0.000    0.051    0.000 _parser.py:969(parse)
      177    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      177    0.001    0.000    0.083    0.000 _compiler.py:740(compile)
      177    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      177    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
      177    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      177    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
    174/1    0.001    0.000    1.894    1.894 {built-in method builtins.exec}
      172    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      172    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      172    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      172    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      172    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      172    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    172/4    0.000    0.000    0.190    0.047 <frozen importlib._bootstrap_external>:989(exec_module)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      172    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  165/163    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      162    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      156    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      156    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      156    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      155    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
      153    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      153    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      145    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      145    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      142    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      121    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      118    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      118    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      118    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
      118    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      117    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      114    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
  104/101    0.000    0.000    0.002    0.000 typing.py:392(inner)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       96    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
       95    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       93    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
       84    0.000    0.000    0.000    0.000 css_parser.py:792(parse_combinator)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       80    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       77    0.000    0.000    0.003    0.000 css_parser.py:459(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       72    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       72    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
       71    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
    70/20    0.000    0.000    0.113    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:529(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       68    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       63    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       62    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       61    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       59    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       58    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
       56    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
    55/35    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       54    0.000    0.000    0.875    0.016 {method 'readline' of '_io.BufferedReader' objects}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
       53    0.000    0.000    0.000    0.000 __init__.py:255(escape)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:905(parse_selectors)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       50    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       49    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       49    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
    48/27    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
       46    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
       46    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
       44    0.000    0.000    0.435    0.010 client.py:633(_safe_read)
       44    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       43    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:566(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    38/29    0.000    0.000    0.008    0.000 css_parser.py:726(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       38    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
    37/10    0.000    0.000    0.134    0.013 {built-in method builtins.__import__}
       37    0.000    0.000    0.000    0.000 element.py:273(get_text)
       36    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       36    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
       36    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       35    0.002    0.000    0.019    0.001 element.py:792(_find_all)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       35    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       35    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       35    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       35    0.000    0.000    0.019    0.001 element.py:2013(find_all)
       35    0.000    0.000    0.000    0.000 element.py:2422(__init__)
    34/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    34/11    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       34    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       33    0.000    0.000    0.014    0.000 element.py:1987(find)
       31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
