('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         859329 function calls (839029 primitive calls) in 2.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       19    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     2251    0.000    0.000    0.001    0.000 css_parser.py:305(match)
     2166    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       21    0.000    0.000    0.476    0.023 __init__.py:1(<module>)
     2689    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
    18/17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
2287/2285    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
       77    0.000    0.000    0.003    0.000 css_parser.py:459(parse_attribute_selector)
      177    0.000    0.000    0.051    0.000 _parser.py:969(parse)
      172    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      950    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 sjisprober.py:1(<module>)
      397    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      153    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     3164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    450/8    0.000    0.000    0.186    0.023 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1476    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      322    0.000    0.000    1.888    0.006 ssl.py:1095(read)
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:1(<module>)
    172/4    0.000    0.000    0.187    0.047 <frozen importlib._bootstrap_external>:989(exec_module)
      200    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       36    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     2232    0.000    0.000    0.000    0.000 py.py:11(<genexpr>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      415    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       12    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      464    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:1(<module>)
      708    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      841    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      177    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
      162    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      177    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 johabfreq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     1196    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      292    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
        7    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
  199/167    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  578/521    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      464    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      215    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      322    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      323    0.000    0.000    0.000    0.000 socket.py:732(readable)
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      698    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       54    0.000    0.000    1.702    0.032 {method 'readline' of '_io.BufferedReader' objects}
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      840    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       31    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      450    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      162    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      840    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
       95    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      217    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      464    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       62    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       46    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      322    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       93    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       84    0.000    0.000    0.000    0.000 css_parser.py:792(parse_combinator)
      197    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      651    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      538    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      544    0.000    0.000    0.000    0.000 element.py:1543(get)
       23    0.000    0.000    0.000    0.000 client.py:537(_read_next_chunk_size)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      471    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      145    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      297    0.000    0.000    0.086    0.000 __init__.py:226(compile)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      322    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      308    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
  104/101    0.000    0.000    0.002    0.000 typing.py:392(inner)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.001    0.001 _tokenizer.py:1(<module>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      177    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      518    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       69    0.000    0.000    0.000    0.000 css_parser.py:529(parse_tag_pattern)
      208    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      354    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
       10    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      156    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
    70/20    0.000    0.000    0.110    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      117    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      689    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    34/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      646    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:566(parse_pseudo_class)
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      197    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      177    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.190    0.190 client.py:591(_read_chunked)
       23    0.000    0.000    0.001    0.000 client.py:567(_get_chunk_left)
    37/10    0.000    0.000    0.131    0.013 {built-in method builtins.__import__}
       80    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.023    0.023 dammit.py:67(EntitySubstitution)
        1    0.000    0.000    0.001    0.001 xmlreader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.052    0.052 css_parser.py:1(<module>)
      121    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      324    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       16    0.000    0.000    0.001    0.000 typing.py:687(Union)
       44    0.000    0.000    0.189    0.004 client.py:633(_safe_read)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       50    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      525    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      217    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      400    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        8    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.000    0.000 url.py:369(parse_url)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        1    0.000    0.000    0.066    0.066 connection.py:708(_ssl_wrap_socket_and_match_hostname)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      145    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
       19    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       35    0.000    0.000    0.019    0.001 element.py:2013(find_all)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      259    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       76    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:726(parse_pseudo_open)
      162    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.121    0.121 connection.py:609(connect)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       36    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.002    0.002 ssl_.py:218(create_urllib3_context)
        1    0.000    0.000    0.043    0.043 client.py:213(_read_headers)
        3    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       58    0.000    0.000    0.000    0.000 parser.py:124(set_cdata_mode)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
      317    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:244(__repr__)
        1    0.000    0.000    0.028    0.028 _inputstream.py:1(<module>)
       18    0.000    0.000    0.000    0.000 typing.py:1449(__getitem__)
        2    0.000    0.000    0.001    0.001 connection.py:1(<module>)
        2    0.000    0.000    0.014    0.007 socket.py:946(getaddrinfo)
       46    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      177    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       49    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       71    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
      195    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       16    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      154    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
  165/163    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        5    0.000    0.000    0.002    0.000 __init__.py:71(search_function)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       12    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:179(__init__)
       50    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       37    0.000    0.000    0.000    0.000 element.py:273(get_text)
        8    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
